Pressure Vapor	Temperature	Volume Vapor	Enthalpy Vapor	Entropy Vapor
101.3250	55.0000	0.3088	465.3000	2.1033
101.3250	60.0000	0.3137	469.7000	2.1166
101.3250	65.0000	0.3185	474.2000	2.1299
101.3250	70.0000	0.3234	478.7000	2.1430
101.3250	75.0000	0.3283	483.2000	2.1561
101.3250	80.0000	0.3331	487.7000	2.1691
101.3250	85.0000	0.3380	492.3000	2.1821
101.3250	90.0000	0.3428	497.0000	2.1949
101.3250	95.0000	0.3477	501.7000	2.2077
101.3250	100.0000	0.3525	506.4000	2.2204
101.3250	105.0000	0.3573	511.1000	2.2331
101.3250	110.0000	0.3622	515.9000	2.2457
101.3250	115.0000	0.3670	520.7000	2.2582
110.0000	-30.0000	0.2068	396.4000	1.8534
110.0000	-25.0000	0.2114	400.1000	1.8686
110.0000	-20.0000	0.2160	403.9000	1.8836
110.0000	-15.0000	0.2206	407.7000	1.8985
110.0000	-10.0000	0.2252	411.5000	1.9133
110.0000	-5.0000	0.2298	415.4000	1.9279
110.0000	0.0000	0.2344	419.4000	1.9424
110.0000	5.0000	0.2389	423.3000	1.9568
110.0000	10.0000	0.2435	427.3000	1.9711
110.0000	15.0000	0.2480	431.4000	1.9853
110.0000	20.0000	0.2526	435.5000	1.9994
110.0000	25.0000	0.2571	439.6000	2.0134
110.0000	30.0000	0.2616	443.8000	2.0272
110.0000	35.0000	0.2661	448.0000	2.0410
110.0000	40.0000	0.2706	452.2000	2.0547
110.0000	45.0000	0.2752	456.5000	2.0683
110.0000	50.0000	0.2797	460.9000	2.0818
110.0000	55.0000	0.2842	465.2000	2.0952
110.0000	60.0000	0.2887	469.6000	2.1085
110.0000	65.0000	0.2931	474.1000	2.1218
110.0000	70.0000	0.2976	478.6000	2.1349
110.0000	75.0000	0.3021	483.1000	2.1480
110.0000	80.0000	0.3066	487.7000	2.1610
110.0000	85.0000	0.3111	492.3000	2.1740
110.0000	90.0000	0.3155	496.9000	2.1869
110.0000	95.0000	0.3200	501.6000	2.1996
110.0000	100.0000	0.3245	506.3000	2.2124
110.0000	105.0000	0.3290	511.0000	2.2250
110.0000	110.0000	0.3334	515.8000	2.2376
110.0000	115.0000	0.3379	520.7000	2.2501
110.0000	120.0000	0.3423	525.5000	2.2626
120.0000	-30.0000	0.1890	396.2000	1.8445
120.0000	-25.0000	0.1933	399.9000	1.8597
120.0000	-20.0000	0.1975	403.7000	1.8748
120.0000	-15.0000	0.2018	407.5000	1.8897
120.0000	-10.0000	0.2060	411.4000	1.9045
120.0000	-5.0000	0.2102	415.3000	1.9192
120.0000	0.0000	0.2144	419.2000	1.9337
120.0000	5.0000	0.2186	423.2000	1.9481
120.0000	10.0000	0.2228	427.2000	1.9624
120.0000	15.0000	0.2270	431.2000	1.9766
120.0000	20.0000	0.2311	435.3000	1.9907
120.0000	25.0000	0.2353	439.5000	2.0047
120.0000	30.0000	0.2395	443.7000	2.0186
120.0000	35.0000	0.2436	447.9000	2.0323
120.0000	40.0000	0.2478	452.1000	2.0460
120.0000	45.0000	0.2519	456.4000	2.0596
120.0000	50.0000	0.2560	460.7000	2.0731
120.0000	55.0000	0.2602	465.1000	2.0866
120.0000	60.0000	0.2643	469.5000	2.0999
120.0000	65.0000	0.2684	474.0000	2.1132
120.0000	70.0000	0.2726	478.5000	2.1263
120.0000	75.0000	0.2767	483.0000	2.1394
120.0000	80.0000	0.2808	487.6000	2.1525
120.0000	85.0000	0.2849	492.2000	2.1654
120.0000	90.0000	0.2890	496.8000	2.1783
120.0000	95.0000	0.2931	501.5000	2.1911
120.0000	100.0000	0.2972	506.2000	2.2038
120.0000	105.0000	0.3013	511.0000	2.2165
120.0000	110.0000	0.3054	515.8000	2.2291
120.0000	115.0000	0.3095	520.6000	2.2416
120.0000	120.0000	0.3136	525.4000	2.2540
